song_id,title,artist,filepath
mOnGAQHbrK4,HARIYE JAO,ARBOVIRUS,database/ARBOVIRUS - HARIYE JAO.mOnGAQHbrK4.wav
8FzeqBVF8ms,Aadat,Unknown,database/Aadat.8FzeqBVF8ms.wav
fBpKX5fFdcY,Vital Signs | Aesthetics اردو,Aitebar,database/Aitebar - Vital Signs ｜ Aesthetics اردو.fBpKX5fFdcY.wav
9GiLKf8Oizw,Ajob,Unknown,database/Ajob.9GiLKf8Oizw.wav
c8i1Qpcnsa8,আমার পৃথিবী | Black | Album Amar Prithibi | Official Lyrical Band Song,Amar Prithibi,database/Amar Prithibi ｜ আমার পৃথিবী ｜ Black ｜ Album Amar Prithibi ｜ Official Lyrical Band Song.c8i1Qpcnsa8.wav
Jh5oHAnDJ2U,আমার সারা দেহ | Zafor Iqbal & Others | Andrew Kishore | Noyoner Alo | Anupam,Amar Sara Deho,database/Amar Sara Deho ｜ আমার সারা দেহ ｜ Zafor Iqbal & Others ｜ Andrew Kishore ｜ Noyoner Alo ｜ Anupam.Jh5oHAnDJ2U.wav
Nyzx5ReAQj4,Ami Jare Chaire,Unknown,database/Ami Jare Chaire.Nyzx5ReAQj4.wav
PlFICIpY6hw,Anmone 2,Unknown,database/Anmone 2.PlFICIpY6hw.wav
cWAxUOjj8aQ,Epitaph  | Shopnochura,Aurthohin,database/Aurthohin - Epitaph (Official Music Video) ｜ Shopnochura ｜.cWAxUOjj8aQ.wav
umsrQSA2iOM,Nahin Milta,Bayaan,database/Bayaan - Nahin Milta (Official Video).umsrQSA2iOM.wav
XMy4KmUgXJw,Moheener Ghoraguli II ভালোবাসি জ্যোৎস্নায় কাশবনে ছুটতে (Lyrics),Bhalo Lage,database/Bhalo Lage - Moheener Ghoraguli II ভালোবাসি জ্যোৎস্নায় কাশবনে ছুটতে (Lyrics).XMy4KmUgXJw.wav
16y1AkoZkmQ,Rasputin (Sopot Festival 1979),Boney M.,database/Boney M. - Rasputin (Sopot Festival 1979).16y1AkoZkmQ.wav
a18py61_F_w,Coke Studio Season 8| Tajdar-e-Haram| Atif Aslam,Unknown,database/Coke Studio Season 8｜ Tajdar-e-Haram｜ Atif Aslam.a18py61_F_w.wav
3YSRMSvkh4c,Dama Dam Mast Qalandar,Unknown,database/Dama Dam Mast Qalandar.3YSRMSvkh4c.wav
Ly7Z0ljOBd4,"December'er Shohorey || With Love, Calcutta OST",Unknown,"database/December'er Shohorey ｜｜ With Love, Calcutta OST.Ly7Z0ljOBd4.wav"
bZsEIzEDbIs,Din Bari Jay,Unknown,database/Din Bari Jay.bZsEIzEDbIs.wav
YmdxYvLgsGg,Doob || ডুব || Habib Wahid || Mousumi || Mosharraf Karim || Projapoti || Bangla Movie Song,Unknown,database/Doob ｜｜ ডুব ｜｜ Habib Wahid ｜｜ Mousumi ｜｜ Mosharraf Karim ｜｜ Projapoti ｜｜ Bangla Movie Song.YmdxYvLgsGg.wav
NgEQL8UOAG4,Strings | 2000 | Duur,Duur,database/Duur ｜ Strings ｜ 2000 ｜ Duur ｜ (Official Video).NgEQL8UOAG4.wav
dLl4PZtxia8,Hotel California,Eagles,database/Eagles - Hotel California (Official Audio).dLl4PZtxia8.wav
